company_name,press_site_url,Press Release Link
"Kringle Pharma, Inc.",,https://finance.yahoo.com/quote/4884.T/press-releases/
Kristopher Washington,,https://www.kansascity.com/news/local/article341575.html
KRKA,,https://www.krka.biz/media-center/news/
Ksana Health,,https://ksanahealth.com/newsroom/
KT Corporation,,https://corp.kt.com/eng/html/promote/news/report_detail.html
KT&G Corporation,,https://finance.yahoo.com/quote/033780.KS/press-releases/
Kubota Vision Inc.,,https://www.kubotaholdings.co.jp/en/ir/news/index.html
KuDOS Pharmaceuticals Limited,,https://www.3i.com/media-centre/corporate-and-portfolio-news/2005/astrazeneca-acquires-3i-backed-kudos-pharmaceuticals/
"Kuhnil Pharmaceutical Co., Ltd.",,https://www.daiichisankyo.com/files/news/pressrelease/pdf/005950/20130425_444_E.pdf
"Kunming Baker Norton Pharmaceutical Sales Co., Ltd.",,https://www.prnewswire.com/news-releases/chinese-pharmaceutical-market-2013-2023-209934751.html
"Kunming Pharmaceuticals, Inc.",,https://finance.yahoo.com/quote/002750.SZ/press-releases?p=002750.SZ
"KunWha Pharmaceutical Co., Ltd.",,https://www.marketscreener.com/quote/stock/KUNWHA-PHARMACEUTICAL-CO-20699439/news-publications/
Kureha Corporation,,https://www.kureha.co.jp/en/newsrelease/
"Kures, Inc.",,https://www.globenewswire.com/en/news-release/2022/12/23/2579089/0/en/atai-Life-Sciences-Announces-Results-from-the-Kures-Therapeutics-Phase-1-Trial-of-KUR-101.html
Kurobe LLC,,https://www.businesswire.com/news/home/20210830005261/en/2021-Insights-on-Bacterial-Conjunctivitis-Drugs-In-Development---Featuring-Cellics-Therapeutics-IACTA-Pharmaceuticals-and-Kurobe-Among-Others---ResearchAndMarkets.com
Kuros BioSciences B.V.,,https://kurosbio.com/media-investors/
Kuros Biosurgery AG,,https://kurosbio.com/media-investors/
"Kwang Dong Pharmaceutical co., ltd.",,https://www.prnewswire.com/news-releases/palatin-technologies-announces-signing-of-licensing-agreement-with-kwangdong-pharmaceutical-for-republic-of-korea-300560045.html
Kyberg Vital GmbH,,No press release link found
Kyma Medical Technologies,,https://www.zoll.com/news-releases/2015/09/16/zoll-acquires-kyma-medical-technologies
Kymab Limited,,https://www.sanofi.com/en/media-room/press-releases/2021/2021-01-11-07-30-00-2155914
"Kyorin Pharmaceutical Co.,Ltd",,https://www.kyorin-pharm.co.jp/en/news/
"Kyowa Hakko Bio Co., Ltd.",,http://www.kyowahakko-bio.co.jp/english/news/
"Kyowa Hakko Kirin China Pharmaceutical Co., LTD.",,https://www.kyowakirin.com/media_center/news_releases/index.html
"Kyowa Hakko Kirin Pharma, Inc.",,https://www.kyowakirin.com/media_center/news_releases/index.html
"Kyowa Hakko Kirin UK, Ltd.",,https://www.kyowakirin.com/media_center/news_releases/index.html
"Kyowa Hakko Kogyo Co., Ltd.",,https://www.kyowakirin.com/media_center/news_releases/index.html
"Kyowa Kirin Co., Ltd.",,https://www.kyowakirin.com/media_center/news_releases/index.html
"Kyowa Kirin Korea Co., Ltd.",,https://www.kyowakirin.com/media_center/news_releases/index.html
Kyowa Kirin Pharmaceutical Development Ltd,,https://www.kyowakirin.com/media_center/news_releases/index.html
"Kyowa Kirin, Inc.",,https://www.kyowakirin.com/media_center/news_releases/index.html
Kythera Biopharmaceuticals,,https://www.businesswire.com/news/home/20121218006784/en/KYTHERA-Biopharmaceuticals-Announces-Limited-Lock-up-Release-of-Shares-for-Charitable-Donation
"L & L biopharma Co., Ltd., Shanghai China",,https://www.sec.gov/news/pressreleases
L-Nutra Inc,,https://www.businesswire.com/news/home/20210909005367/en/L-Nutra-Inc.-Announces-New-Leadership-in-Therapeutics-and-Consumer-Divisions
L.Molteni & C. dei F.lli Alitti-Soc. di Esercizio S.p.A.,,No press release link found
L'Oreal,,https://www.loreal.com/en/press-release/
L&C Bio,,https://www.agilent.com/about/newsroom/presrel/2021/22jun-ca21016.html
"LAAx, Inc.",,https://www.weissearena.com/en/media/
"Labcoat, Ltd.",,https://news.bostonscientific.com/news-releases?item=59112
Labcorp Drug Development Inc,,https://www.labcorp.com/newsroom/press-releases
Labo'Life,,https://www.labolife.com/press/
Labopharm Inc.,,https://www.fiercebiotech.com/biotech/press-release-labopharm-appeals-fda-s-tramadol-decision
Laboratoire Boreaderme Inc.,,https://finance.yahoo.com/news/herpes-labialis-treatment-market-expected-130000115.html
Laboratoire Ceraver-Osteal,,https://pt.slideshare.net/carlstephanparent/argos-spine-news-1
